Vaalit,1907,1908,1909,1910,1911,1913,1916,1917,1919,1922,1924,1927,1929,1930,1933,1936,1939,1945,1948,1951,1954,1958,1962,1966,1970,1972,1975,1979,1983,1987,1991,1995,1999,2003,2007,2011,2015
STPSDP,80,83,84,86,86,90,103,92,80,53,60,60,59,66,78,83,85,50,54,53,54,48,38,55,52,55,54,52,57,56,48,63,51,53,45,42,34
SPKok.,59,55,48,42,43,38,33,32,28,35,38,34,28,42,18,20,25,28,33,28,24,29,32,26,37,34,35,47,44,53,40,39,46,40,50,44,37
NSPEd.KPLKP,26,26,29,28,28,29,23,24,26,15,17,10,7,11,11,7,6,9,5,10,13,8,13,9,8,7,9,4,0,0,1,0,0,0,0,0,0
RKP,24,24,25,26,26,25,21,21,22,25,23,24,23,20,21,21,18,14,13,14,12,13,13,11,11,9,9,9,10,12,11,11,11,8,9,9,9
SMLMLKePuKesk.,9,10,13,17,16,18,19,26,42,45,44,52,60,59,53,53,56,49,56,51,53,48,53,49,36,35,39,36,38,40,55,44,48,55,51,35,49
SKrTL,2,2,1,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSTPSTPVSKDLVas.,0,0,0,0,0,0,0,0,0,27,18,20,23,0,0,0,0,49,38,43,43,50,47,41,36,37,40,35,27,16,19,22,20,19,17,14,12
SPPPMP,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SV,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IKL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TPSL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0
VL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPPSMPPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,18,2,7,17,9,7,1,1,3,5,39,38
SKLKD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,9,9,3,5,8,7,10,7,7,6,5
SKYP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SPKPKPPOP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Vihreät,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,10,9,11,14,15,10,15
Nuors.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
VihreätEPVKiPu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
muut,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,5,1,1,2,1,1,1,1
