Vaalit,STPSDP,SPKok.,NSPEd.KPLKP,RKP,SMLMLKePuKesk.,SKrTL,SSTPSTPVSKDLVas.,SPPPMP,SV,IKL,KP,TPSL,VL,SPPSMPPS,SKLKD,SKYP,SPKPKPPOP,Vihreät,Nuors.,VihreätEPVKiPu,muut
1907,80,59,26,24,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1908,83,55,26,24,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1909,84,48,29,25,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1910,86,42,28,26,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1911,86,43,28,26,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1913,90,38,29,25,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1916,103,33,23,21,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1917,92,32,24,21,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1919,80,28,26,22,42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1922,53,35,15,25,45,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1924,60,38,17,23,44,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1927,60,34,10,24,52,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1929,59,28,7,23,60,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1930,66,42,11,20,59,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1933,78,18,11,21,53,0,0,3,0,14,2,0,0,0,0,0,0,0,0,0,0
1936,83,20,7,21,53,0,0,1,0,14,1,0,0,0,0,0,0,0,0,0,0
1939,85,25,6,18,56,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0
1945,50,28,9,14,49,0,49,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1948,54,33,5,13,56,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1951,53,28,10,14,51,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1954,54,24,13,12,53,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1958,48,29,8,13,48,0,50,0,0,0,0,3,0,0,0,0,0,0,0,0,1
1962,38,32,13,13,53,0,47,0,0,0,0,2,1,0,0,0,0,0,0,0,1
1966,55,26,9,11,49,0,41,0,0,0,0,7,0,1,0,0,0,0,0,0,1
1970,52,37,8,11,36,0,36,0,0,0,0,0,0,18,1,0,0,0,0,0,1
1972,55,34,7,9,35,0,37,0,0,0,0,0,0,18,4,0,0,0,0,0,1
1975,54,35,9,9,39,0,40,0,0,0,0,0,0,2,9,1,1,0,0,0,1
1979,52,47,4,9,36,0,35,0,0,0,0,0,0,7,9,0,0,0,0,0,1
1983,57,44,0,10,38,0,27,0,0,0,0,0,0,17,3,0,1,2,0,0,1
1987,56,53,0,12,40,0,16,0,0,0,0,0,0,9,5,0,0,4,0,0,5
1991,48,40,1,11,55,0,19,0,0,0,0,0,0,7,8,0,0,10,0,0,1
1995,63,39,0,11,44,0,22,0,0,0,0,0,0,1,7,0,0,9,2,1,1
1999,51,46,0,11,48,0,20,0,0,0,0,0,0,1,10,0,0,11,0,0,2
2003,53,40,0,8,55,0,19,0,0,0,0,0,0,3,7,0,0,14,0,0,1
2007,45,50,0,9,51,0,17,0,0,0,0,0,0,5,7,0,0,15,0,0,1
2011,42,44,0,9,35,0,14,0,0,0,0,0,0,39,6,0,0,10,0,0,1
2015,34,37,0,9,49,0,12,0,0,0,0,0,0,38,5,0,0,15,0,0,1
